Identifier	Task start	Duration
ID1	2017.03.01 03:10	120
ID2	2017.03.01 03:10	120
ID3	2017.03.01 03:10	120
ID4	2017.03.01 04:00	120
ID5	2017.03.01 04:00	120
ID6	2017.03.01 04:00	120
ID7	2017.03.01 04:10	120
ID8	2017.03.01 04:10	120
ID9	2017.03.01 04:25	120
ID10	2017.03.01 04:25	120
ID11	2017.03.01 05:00	120
ID12	2017.03.01 05:00	120
ID13	2017.03.01 05:00	120
ID14	2017.03.01 05:15	120
ID15	2017.03.01 05:15	120
ID16	2017.03.01 05:15	120
ID17	2017.03.01 06:25	120
ID18	2017.03.01 06:25	120
ID19	2017.03.01 08:35	120
ID20	2017.03.01 08:35	120
ID21	2017.03.01 08:35	120
ID22	2017.03.01 09:50	120
ID23	2017.03.01 09:50	120
ID24	2017.03.01 11:10	40
ID25	2017.03.01 11:40	120
ID26	2017.03.01 11:40	120
ID27	2017.03.01 13:00	40
ID28	2017.03.01 12:20	120
ID29	2017.03.01 12:20	120
ID30	2017.03.01 13:40	40
ID31	2017.03.01 14:00	120
ID32	2017.03.01 14:00	120
ID33	2017.03.01 14:00	120
ID34	2017.03.01 15:05	120
ID35	2017.03.01 15:05	120
ID36	2017.03.01 15:05	120
ID37	2017.03.01 15:05	120
ID38	2017.03.01 15:05	120
ID39	2017.03.01 15:05	120
ID40	2017.03.01 15:40	120
ID41	2017.03.01 16:10	120
ID42	2017.03.01 16:10	120
ID43	2017.03.01 16:30	120
ID44	2017.03.01 16:30	120
ID45	2017.03.01 16:30	120
ID46	2017.03.01 16:30	120
ID47	2017.03.01 16:30	120
ID48	2017.03.01 16:30	120
ID49	2017.03.01 17:00	120
ID50	2017.03.01 17:00	120
ID51	2017.03.01 18:20	40
ID52	2017.03.01 17:35	120
ID53	2017.03.01 17:35	120
ID54	2017.03.01 17:45	120
ID55	2017.03.01 17:45	120
ID56	2017.03.01 17:45	120
ID57	2017.03.02 03:10	120
ID58	2017.03.02 03:10	120
ID59	2017.03.02 03:10	120
ID60	2017.03.02 04:10	120
ID61	2017.03.02 04:10	120
ID62	2017.03.02 04:10	120
ID63	2017.03.02 04:25	120
ID64	2017.03.02 04:25	120
ID65	2017.03.02 05:10	120
ID66	2017.03.02 05:10	120
ID67	2017.03.02 05:15	120
ID68	2017.03.02 05:15	120
ID69	2017.03.02 05:15	120
ID70	2017.03.02 05:15	120
ID71	2017.03.02 05:15	120
ID72	2017.03.02 05:15	120
ID73	2017.03.02 05:20	120
ID74	2017.03.02 05:20	120
ID75	2017.03.02 05:20	120
ID76	2017.03.02 06:25	120
ID77	2017.03.02 06:25	120
ID78	2017.03.02 06:25	120
ID79	2017.03.02 08:35	120
ID80	2017.03.02 08:35	120
ID81	2017.03.02 08:35	120
ID82	2017.03.02 09:50	120
ID83	2017.03.02 09:50	120
ID84	2017.03.02 11:10	40
ID85	2017.03.02 11:00	120
ID86	2017.03.02 11:00	120
ID87	2017.03.02 11:00	120
ID88	2017.03.02 11:40	120
ID89	2017.03.02 11:40	120
ID90	2017.03.02 13:00	40
ID91	2017.03.02 14:00	120
ID92	2017.03.02 14:00	120
ID93	2017.03.02 15:05	120
ID94	2017.03.02 15:05	120
ID95	2017.03.02 15:05	120
ID96	2017.03.02 16:05	120
ID97	2017.03.02 16:05	120
ID98	2017.03.02 16:05	120
ID99	2017.03.02 16:10	120
ID100	2017.03.02 16:10	120
ID101	2017.03.02 16:10	120
ID102	2017.03.02 17:00	120
ID103	2017.03.02 17:00	120
ID104	2017.03.02 18:20	40
ID105	2017.03.02 17:35	120
ID106	2017.03.02 17:35	120
ID107	2017.03.03 03:10	120
ID108	2017.03.03 03:10	120
ID109	2017.03.03 03:10	120
ID110	2017.03.03 04:00	120
ID111	2017.03.03 04:00	120
ID112	2017.03.03 04:00	120
ID113	2017.03.03 04:10	120
ID114	2017.03.03 04:10	120
ID115	2017.03.03 04:25	120
ID116	2017.03.03 04:25	120
ID117	2017.03.03 04:30	120
ID118	2017.03.03 04:30	120
ID119	2017.03.03 04:30	120
ID120	2017.03.03 05:10	120
ID121	2017.03.03 05:10	120
ID122	2017.03.03 05:10	120
ID123	2017.03.03 05:10	120
ID124	2017.03.03 05:10	120
ID125	2017.03.03 05:10	120
ID126	2017.03.03 06:25	120
ID127	2017.03.03 06:25	120
ID128	2017.03.03 06:30	120
ID129	2017.03.03 06:30	120
ID130	2017.03.03 06:30	120
ID131	2017.03.03 08:35	120
ID132	2017.03.03 08:35	120
ID133	2017.03.03 08:35	120
ID134	2017.03.03 09:25	120
ID135	2017.03.03 09:25	120
ID136	2017.03.03 09:25	120
ID137	2017.03.03 09:50	120
ID138	2017.03.03 09:50	120
ID139	2017.03.03 11:10	40
ID140	2017.03.03 10:50	120
ID141	2017.03.03 10:50	120
ID142	2017.03.03 10:50	120
ID143	2017.03.03 11:40	120
ID144	2017.03.03 11:40	120
ID145	2017.03.03 13:00	40
ID146	2017.03.03 12:25	120
ID147	2017.03.03 12:25	120
ID148	2017.03.03 13:45	40
ID149	2017.03.03 14:00	120
ID150	2017.03.03 14:00	120
ID151	2017.03.03 16:10	120
ID152	2017.03.03 16:10	120
ID153	2017.03.03 16:10	120
ID154	2017.03.03 16:15	120
ID155	2017.03.03 16:15	120
ID156	2017.03.03 16:15	120
ID157	2017.03.03 16:30	120
ID158	2017.03.03 16:30	120
ID159	2017.03.03 16:30	120
ID160	2017.03.03 16:55	120
ID161	2017.03.03 16:55	120
ID162	2017.03.03 16:55	120
ID163	2017.03.03 17:00	120
ID164	2017.03.03 17:00	120
ID165	2017.03.03 18:20	40
ID166	2017.03.03 17:35	120
ID167	2017.03.03 17:35	120
ID168	2017.03.03 17:40	120
ID169	2017.03.03 17:45	120
ID170	2017.03.03 17:45	120
ID171	2017.03.03 17:45	120
ID172	2017.03.04 03:10	120
ID173	2017.03.04 03:10	120
ID174	2017.03.04 03:10	120
ID175	2017.03.04 03:30	120
ID176	2017.03.04 03:30	120
ID177	2017.03.04 03:30	120
ID178	2017.03.04 04:10	120
ID179	2017.03.04 04:10	120
ID180	2017.03.04 04:10	120
ID181	2017.03.04 04:20	120
ID182	2017.03.04 04:20	120
ID183	2017.03.04 04:25	120
ID184	2017.03.04 04:25	120
ID185	2017.03.04 05:10	120
ID186	2017.03.04 05:10	120
ID187	2017.03.04 05:10	120
ID188	2017.03.04 05:15	120
ID189	2017.03.04 05:15	120
ID190	2017.03.04 05:15	120
ID191	2017.03.04 05:25	120
ID192	2017.03.04 05:25	120
ID193	2017.03.04 05:25	120
ID194	2017.03.04 05:40	120
ID195	2017.03.04 05:40	120
ID196	2017.03.04 05:40	120
ID197	2017.03.04 08:35	120
ID198	2017.03.04 08:35	120
ID199	2017.03.04 08:35	120
ID200	2017.03.04 09:05	120
ID201	2017.03.04 09:05	120
ID202	2017.03.04 09:05	120
ID203	2017.03.04 09:50	120
ID204	2017.03.04 09:50	120
